"Company: Company Name","Notice Type","Notice: Notice Number","Closure or Layoff?","County","Date Received","NAICS","Notice URL","Number of Employees Affected","Projected Date","Trade","Type of Employees Affected","Workforce Board"
"Battelle Memorial Institute E3","WARN Notice","Notice 2804","Closure","Madison","5/7/2026","541715","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000R7S85/ChUHYkuIxmZGber7XiEFcOqgFvRKvnc5c98o33VA13M","3","7/6/2026","","Non-Union","Bluegrass"
"Stella-Jones Corporation","WARN Notice","Notice 2798","Closure","Fulton","4/30/2026","321114","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000QbOyr/8QOonL2ZzmNjafz_Iy2AlWTpg0fhL6GmSd9ElrJhDe4","67","7/1/2026","","Non-Union","Western Kentucky"
"Aramark Campus, LLC","WARN Notice","Notice 2799","Closure","Fayette","4/29/2026","722310","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000QbQKk/97HSOQBTsXu3P4fz4CdBvLx2l.wNmuRx4f4ngCfIIGc","923","6/30/2026","No","Both","Bluegrass"
"University of Kentucky College of Medicine, Department of Behavioral Science","WARN Notice","Notice 2801","","Fayette","5/5/2026","611310","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000QijIb/GEjtAjS7YOxjX3f2jFXLvD9xWYiGkSG8L2omIcWr.kc","36","6/30/2026","","Non-Union","Bluegrass"
"UK HealthCare-HIV Program Operations (KIRP)","WARN Notice","Notice 2802","Closure","Fayette","5/5/2026","611310","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000QiwhG/SbJ3ukBMv1baTmB89A4sXIh4i4KSDZr2HIX7P0PTOLo","61","6/30/2026","","Non-Union","Bluegrass"
"Legacy Supply Chain","WARN Notice","Notice 2785","Closure","Jefferson County - Louisville","4/1/2026","488510","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000PDRqP/Qx1TWK7zpU5r.9tnXH1SaSnmys5ktC.Y2JwvY0izamU","123","6/6/2026","","Non-Union","Kentuckiana Works"
"Bluegrass UPS Facility","WARN Notice","Notice 2786","Closure","Jefferson County - Louisville","4/1/2026","492110","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000PDP8f/7oyf.yIT7bga4_8lwf6Gv0CBM6RWkfBtSueOExFzIEk","65","6/2/2026","","Both","Kentuckiana Works"
"Marsden Services LLC","WARN Notice","Notice 2795","Layoff","Jefferson County - Louisville","4/16/2026","56172","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000QBhib/Axgartu79FnT.1puuR2ziNCjL_vVob8mjuIb4H_1rgY","106","5/10/2026","No","","Kentuckiana Works"
"Battelle Memorial Institute E3","WARN Notice","Notice 2777","Closure","Madison","3/5/2026","541715","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000NkU99/oU8_gO4ZAXjo2Ew8cYx0YkQwqLrKuxfHbjNc4HWS0kg","5","5/6/2026","No","Non-Union","Bluegrass"
"FRAM First Brands Group, LLC","WARN Notice","Notice 2763","Closure","Boone","2/24/2026","423120","https://kydev.my.salesforce.com/sfc/p/t00000004X3h/a/eq00000N9QpF/4EEzN4tM6NejTIykMYCa83PGBw3SZK1mgoh_UyK2LBY","76","4/30/2026","","Non-Union","Northern Kentucky"
